"","county","industry","medium","injury_type","injury_date","death","injuries"
"573","新北市","營造業","屋頂、屋架、樑","墜落、滾落",2017-10-17,1,0
"574","台中市","批發及零售業","吊籠","墜落、滾落",2017-10-17,1,0
"575","彰化縣","營造業","屋頂、屋架、樑","墜落、滾落",2017-10-19,1,0
"576","新竹縣","製造業","電","感電",2017-10-21,1,0
"577","新北市","營造業","開口部分","墜落、滾落",2017-10-22,1,0
"578","新竹市","用水供應及汙染整治業","汽車","公路交通事故",2017-10-23,1,0
"579","花蓮縣","公共行政及國防；強制性社會安全","特殊環境","墜落、滾落",2017-10-25,1,0
"580","台中市","製造業","壓力管","物體飛落",2017-10-26,1,1
"581","台南市","營造業","營建物","墜落、滾落",2017-10-28,1,0
"582","新竹縣","營造業","鋼筋電剪","感電",2017-11-01,1,0
"583","新北市","營造業","開口部分","墜落、滾落",2017-11-04,1,0
"584","台南市","製造業","屋頂、屋架、樑","墜落、滾落",2017-11-04,1,0
"585","高雄市","營造業","施工架開口處","墜落、滾落",2017-11-07,1,0
"586","雲林縣","批發及零售業","屋頂、屋架、樑","墜落、滾落",2017-11-07,1,0
"587","桃園市","製造業","模具","物體倒塌、崩塌",2017-11-08,1,0
"588","桃園市","公共行政及國防；強制性社會安全","混凝土預拌車","公路交通事故",2017-11-08,1,0
"589","台南市","營造業","開口部分","溺斃",2017-11-08,1,0
"590","台南市","製造業","其他","感電",2017-11-08,1,0
"591","彰化縣","其他服務業","電弧熔接","爆炸",2017-11-10,1,0
"592","台南市","營造業","其他設備（電鑽)","感電",2017-11-11,1,0
"593","新竹縣","營造業","卡車","墜落、滾落",2017-11-13,1,0
"594","台南市","營造業","樓梯","墜落、滾落",2017-11-14,1,0
"595","新竹市","營造業","開口部分","墜落、滾落",2017-11-15,1,0
"596","台南市","營造業","梯子等","墜落、滾落",2017-11-15,1,0
"597","高雄市","農、林、漁、牧業","易燃易體","爆炸",2017-11-17,0,4
"598","台中市","製造業","其他(挖溝機)","墜落、滾落",2017-11-22,1,0
"599","屏東縣","批發及零售業","卡車","被撞",2017-11-23,1,0
"600","新北市","營造業","營建物","墜落、滾落",2017-11-23,1,0
"601","桃園市","製造業","其他","被夾、被捲",2017-11-27,1,0
"602","南投縣","營造業","貨車","被撞",2017-11-29,1,0
"603","台中市","批發及零售業","開口處","墜落、滾落",2017-12-02,1,0
"604","台北市","營造業","合梯","墜落、滾落",2017-12-03,1,0
"605","高雄市","運輸及倉儲業","傾卸車","衝撞",2017-12-06,1,0
"606","台南市","製造業","待查","待查",2017-12-06,1,0
"607","新北市","營造業","盲板","物體飛落",2017-12-07,1,0
"608","台中市","營造業","開口部分","墜落、滾落",2017-12-08,1,0
"609","新北市","農、林、漁、牧業","水","溺斃",2017-12-08,1,2
"610","新北市","營造業","施工架","墜落、滾落",2017-12-09,1,0
"611","彰化縣","營造業","開口","墜落、滾落",2017-12-11,1,0
"612","台中市","營造業","車輛","公路交通事故",2017-12-11,1,1
"613","雲林縣","製造業","屋頂、屋架、樑","墜落、滾落",2017-12-12,1,0
"614","台中市","營造業","施工架","墜落、滾落",2017-12-13,1,0
"615","新北市","營造業","工作台","墜落、滾落",2017-12-14,1,0
"616","屏東縣","營造業","梯子等","墜落、滾落",2017-12-19,1,0
"617","台中市","營造業","營建物","墜落、滾落",2017-12-21,1,0
"618","台南市","不動產業","施工架","墜落、滾落",2017-12-23,1,0
"619","新北市","無","堆高機","墜落、滾落",2017-12-24,1,0
"620","桃園市","營造業","工作台","墜落、滾落",2017-12-25,1,0
"621","台南市","批發及零售業","已包裝貨物","物體倒塌、崩塌",2017-12-25,1,0
"622","屏東縣","製造業","車輛","被撞",2017-12-26,1,0
"623","台北市","營造業","合梯","墜落、滾落",2017-12-26,1,0
"624","新北市","營造業","屋頂、屋架、樑","墜落、滾落",2017-12-26,1,0
"625","宜蘭縣","營造業","樓板","墜落、滾落",2017-12-27,1,0
"626","花蓮縣","製造業","固定式起重機","墜落、滾落",2017-12-28,1,0
"627","台中市","營造業","工作平台、踏板","墜落、滾落",2017-12-29,1,0
"628","南投縣","營造業","屋頂、屋架、樑","墜落、滾落",2015-01-02,1,0
"629","台北市","營造業","梯子","墜落、滾落",2015-01-05,1,0
"630","南投縣","營造業","營建物","跌倒",2015-01-06,1,0
"631","台北市","支援服務業","電動拉門","被夾、被捲",2015-01-09,1,0
"632","桃園市","營造業","屋頂、屋架、樑","墜落、滾落",2015-01-09,1,0
"633","高雄市","農、林、漁、牧業","其他","與有害物等之接觸",2015-01-09,1,2
"634","嘉義縣","製造業","滾軋機(碎土機)","被夾、被捲",2015-01-13,1,0
"635","台南市","製造業","有害物(氨水)","與有害物等之接觸",2015-01-14,1,1
"636","雲林縣","製造業","其他","被夾、被捲",2015-01-16,1,0
"637","高雄市","營造業","金屬材料(中間樁)","被撞",2015-01-16,1,0
"638","南投縣","營造業","固定梯","墜落、滾落",2015-01-16,1,0
"639","屏東縣","營造業","施工架","墜落、滾落",2015-01-19,1,0
"640","基隆市","營造業","可燃性氣體","火災",2015-01-21,0,3
"641","新北市","營造業","挖土機","被撞",2015-01-21,1,0
"642","台中市","製造業","輸送帶","被夾、被捲",2015-01-23,1,0
"643","桃園市","批發及零售業","堆高機","墜落、滾落",2015-01-24,1,0
"644","桃園市","製造業","爐、窯等","爆炸",2015-01-25,0,4
"645","新北市","營造業","屋頂、屋架、樑","墜落、滾落",2015-01-26,1,0
"646","苗栗縣","製造業","其他","其他",2015-01-26,1,0
"647","桃園市","製造業","其他設備(集塵器)","爆炸",2015-01-26,0,8
"648","桃園市","營造業","移動梯","墜落、滾落",2015-01-27,1,0
"649","台北市","資訊及傳播通訊業","營建物","物體倒塌、崩塌",2015-01-29,1,2
"650","新北市","營造業","金屬材料","跌倒",2015-01-29,1,0
"651","台南市","農、林、漁、牧業","鏟土機鏟斗","被撞",2015-01-29,1,1
"652","宜蘭縣","製造業","製麵機","被夾、被捲",2015-01-30,1,0
"653","桃園市","製造業","開口部分","墜落、滾落",2015-01-30,1,0
"654","桃園市","用水供應及汙染整治業","打樁機、拔樁機","爆炸",2015-01-31,1,0
"655","桃園市","製造業","固定式起重機","物體倒塌、崩塌",2015-01-31,1,0
"656","雲林縣","營造業","其他(高空作業車)","墜落、滾落",2015-01-31,1,0
"657","台中市","營造業","施工架","墜落、滾落",2015-02-02,1,0
"658","屏東縣","營造業","施工架","墜落、滾落",2015-02-02,1,0
"659","桃園市","營造業","其它","墜落、滾落",2015-02-03,1,0
"660","新竹縣","營造業","樓梯","墜落、滾落",2015-02-03,1,0
"661","高雄市","營造業","可燃性氣體","爆炸",2015-02-04,1,0
"662","高雄市","專業、科學及技術服務業","有害物","與有害物等之接觸",2015-02-06,1,0
"663","高雄市","營造業","營建物","墜落、滾落",2015-02-07,1,0
"664","新北市","營造業","施工架","墜落、滾落",2015-02-07,1,0
"665","台南市","製造業","其他","被夾、被捲",2015-02-07,1,0
"666","新北市","用水供應及汙染整治業","汽車","公路交通事故",2015-02-08,0,3
"667","基隆市","支援服務業","開口部分","墜落、滾落",2015-02-09,1,0
"668","桃園市","支援服務業","其他","火災",2015-02-09,1,0
